game,round,phase,is_starter,is_playing,player,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus,total_seconds
MAD-PAR,35,PLAYOFFS,True,True,Punter Kevin,34:08,26,1,3,5,8,9,9,0,3,3,6,0,2,0,0,1,6,33,7,2048
MAD-PAR,39,PLAYOFFS,True,True,Punter Kevin,36:48,28,1,4,7,13,5,5,0,2,2,3,0,2,0,1,2,7,26,-9,2208
PAR-MAD,32,REGULAR SEASON,False,True,Punter Kevin,29:13,16,5,12,1,2,3,3,0,2,2,6,3,0,0,1,3,3,18,24,1753
ULK-PAR,15,REGULAR SEASON,False,True,Punter Kevin,23:09,12,3,4,0,3,6,8,1,4,5,2,1,1,1,0,1,4,17,-5,1389
PAR-OLY,30,REGULAR SEASON,True,True,Punter Kevin,31:45,17,0,3,4,7,5,5,0,1,1,3,0,1,0,1,2,4,15,6,1905
BAR-PAR,9,REGULAR SEASON,False,True,Punter Kevin,12:53,2,0,5,0,0,2,2,1,0,1,0,1,0,0,0,1,2,0,-6,773
ZAL-PAR,23,REGULAR SEASON,True,True,Punter Kevin,25:06,14,4,5,2,4,0,0,0,1,1,3,1,1,0,0,3,0,12,3,1506
MAD-PAR,10,REGULAR SEASON,True,True,Punter Kevin,33:04,16,2,4,3,8,3,5,0,5,5,3,1,2,0,2,2,7,17,-8,1984
PAR-BAS,19,REGULAR SEASON,True,True,Punter Kevin,26:20,12,0,3,3,5,3,4,0,1,1,1,1,1,0,0,1,2,9,22,1580
TEL-PAR,18,REGULAR SEASON,False,True,Punter Kevin,28:16,22,4,6,3,5,5,5,0,2,2,3,1,1,0,0,4,5,24,7,1696
PAM-PAR,20,REGULAR SEASON,True,True,Punter Kevin,26:40,14,2,4,3,4,1,1,0,1,1,4,1,5,0,0,2,2,12,-2,1600
MCO-PAR,33,REGULAR SEASON,True,True,Punter Kevin,26:10,8,1,2,2,4,0,0,0,0,0,4,0,2,0,0,1,1,7,-11,1570
RED-PAR,21,REGULAR SEASON,True,True,Punter Kevin,20:37,6,0,1,1,3,3,4,0,1,1,1,1,0,0,0,4,4,5,2,1237
ASV-PAR,13,REGULAR SEASON,False,True,Punter Kevin,23:24,7,1,3,1,3,2,3,0,0,0,1,0,0,0,0,0,3,6,-1,1404
PAR-TEL,8,REGULAR SEASON,False,True,Punter Kevin,32:18,13,4,10,1,5,2,2,0,5,5,3,0,0,1,1,3,2,10,13,1938
PAR-ASV,22,REGULAR SEASON,True,True,Punter Kevin,21:02,22,5,10,3,5,3,3,2,2,4,2,1,0,0,0,2,4,24,22,1262
PAR-PAM,11,REGULAR SEASON,False,True,Punter Kevin,27:40,19,2,4,3,7,6,7,0,0,0,3,1,5,0,1,5,4,9,4,1660
MAD-PAR,36,PLAYOFFS,True,True,Punter Kevin,25:51,14,0,2,4,6,2,2,0,1,1,3,1,2,0,0,5,5,13,17,1551
PAR-PAN,34,REGULAR SEASON,False,True,Punter Kevin,31:25,17,4,10,3,6,0,0,1,0,1,2,0,3,1,2,3,3,7,3,1885
PAR-MUN,16,REGULAR SEASON,False,True,Punter Kevin,22:28,6,1,6,0,2,4,4,0,1,1,2,1,0,0,0,4,3,2,-9,1348
VIR-PAR,27,REGULAR SEASON,True,True,Punter Kevin,30:36,17,6,8,1,3,2,2,0,1,1,1,3,0,0,0,3,3,18,20,1836
PAR-BER,26,REGULAR SEASON,True,True,Punter Kevin,29:01,16,2,4,2,5,6,6,0,2,2,3,3,3,0,0,3,4,17,19,1741
PAR-RED,12,REGULAR SEASON,True,True,Punter Kevin,29:26,15,5,7,1,5,2,2,1,0,1,0,3,1,0,0,3,3,12,-2,1766
BAS-PAR,2,REGULAR SEASON,False,True,Punter Kevin,33:00,26,4,11,3,7,9,9,2,3,5,2,1,1,0,0,4,6,24,-8,1980
MUN-PAR,24,REGULAR SEASON,True,True,Punter Kevin,26:56,19,5,8,1,2,6,6,0,2,2,1,0,0,0,0,2,3,19,0,1616
OLY-PAR,7,REGULAR SEASON,True,True,Punter Kevin,33:26,14,5,6,1,7,1,2,0,0,0,2,4,2,0,0,4,4,10,-26,2006
IST-PAR,29,REGULAR SEASON,True,True,Punter Kevin,27:57,19,3,5,3,5,4,4,0,3,3,1,1,1,0,2,3,3,17,11,1677
PAN-PAR,6,REGULAR SEASON,True,True,Punter Kevin,35:48,29,4,9,6,8,3,4,0,1,1,4,1,3,0,1,3,4,24,-3,2148
PAR-ULK,25,REGULAR SEASON,True,True,Punter Kevin,28:52,25,5,7,3,6,6,6,0,1,1,2,0,0,0,1,5,7,24,6,1732
PAR-BAR,31,REGULAR SEASON,True,True,Punter Kevin,26:54,16,5,11,1,6,3,3,0,2,2,2,0,0,1,1,3,3,9,-9,1614
BER-PAR,1,REGULAR SEASON,True,True,Punter Kevin,32:04,13,2,5,1,5,6,6,0,6,6,3,1,0,0,0,1,6,21,-9,1924
PAR-MIL,3,REGULAR SEASON,True,True,Punter Kevin,33:02,7,1,5,1,4,2,2,0,5,5,2,0,1,0,1,2,3,6,-1,1982
PAR-IST,14,REGULAR SEASON,False,True,Punter Kevin,30:43,18,6,9,0,2,6,6,0,2,2,4,3,0,0,2,0,6,26,-1,1843
PAR-VIR,4,REGULAR SEASON,False,True,Punter Kevin,23:18,10,3,5,1,6,1,2,2,1,3,3,1,1,0,1,3,3,7,5,1398
MIL-PAR,28,REGULAR SEASON,True,True,Punter Kevin,28:46,15,5,8,0,3,5,5,0,5,5,3,0,1,0,1,3,4,16,3,1726
PAR-ZAL,5,REGULAR SEASON,False,True,Punter Kevin,19:28,26,7,10,3,4,3,4,0,0,0,1,1,3,0,0,4,4,20,10,1168
PAR-MCO,17,REGULAR SEASON,True,True,Punter Kevin,24:25,19,2,5,4,5,3,3,0,1,1,4,1,2,0,0,4,3,18,17,1465
MAD-PAR,39,PLAYOFFS,False,False,Vukcevic Tristan,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAD-PAR,39,PLAYOFFS,True,True,Leday Zach,32:27,9,0,5,3,5,0,0,0,3,3,1,0,0,1,1,2,1,5,-13,1947
MAD-PAR,39,PLAYOFFS,False,False,Koprivica Balsa,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAD-PAR,39,PLAYOFFS,True,True,Smailagic Alen,08:56,4,2,3,0,0,0,0,0,1,1,0,2,0,3,0,5,2,6,4,536
MAD-PAR,39,PLAYOFFS,True,True,Papapetrou Ioannis,28:42,10,2,4,1,1,3,4,1,1,2,1,0,3,2,0,3,3,9,-6,1722
MAD-PAR,39,PLAYOFFS,False,True,Lessort Mathias,25:03,13,3,5,0,0,7,8,1,1,2,1,1,0,0,0,4,6,16,-5,1503
MAD-PAR,39,PLAYOFFS,False,True,Trifunovic Uros,04:06,0,0,2,0,1,0,0,0,1,1,0,0,0,0,1,0,0,-3,4,246
MAD-PAR,39,PLAYOFFS,True,True,Madar Yam,17:02,5,2,4,0,1,1,2,2,2,4,4,0,0,0,0,2,1,8,-9,1022
MAD-PAR,39,PLAYOFFS,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,94,12,32,15,29,25,30,8,20,28,16,4,6,6,3,23,28,105,0,12000
PAR-MAD,32,REGULAR SEASON,False,False,Vukcevic Tristan,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAR-MAD,32,REGULAR SEASON,True,True,Leday Zach,26:11,6,0,3,1,1,3,3,1,1,2,0,0,2,0,0,3,2,2,5,1571
PAR-MAD,32,REGULAR SEASON,True,True,Avramovic Aleksa,15:17,5,1,5,1,4,0,0,0,2,2,1,2,0,0,0,1,1,3,4,917
PAR-MAD,32,REGULAR SEASON,True,True,Smailagic Alen,09:07,11,3,5,1,1,2,4,0,0,0,1,1,1,0,2,5,2,3,4,547
PAR-MAD,32,REGULAR SEASON,True,True,Papapetrou Ioannis,22:05,10,4,5,0,0,2,2,1,4,5,0,0,2,0,0,4,2,10,5,1325
PAR-MAD,32,REGULAR SEASON,False,True,Lessort Mathias,30:51,16,7,9,0,0,2,3,4,4,8,3,2,0,1,0,4,6,29,10,1851
PAR-MAD,32,REGULAR SEASON,True,True,Trifunovic Uros,08:52,4,0,0,1,1,1,2,0,0,0,1,0,0,0,0,0,1,5,-10,532
PAR-MAD,32,REGULAR SEASON,False,True,Madar Yam,05:56,2,1,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,-4,-4,356
PAR-MAD,32,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,104,29,51,7,13,25,31,10,22,32,19,8,9,1,3,27,24,115,0,12000
ULK-PAR,15,REGULAR SEASON,False,False,Vukcevic Tristan,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ULK-PAR,15,REGULAR SEASON,True,True,Leday Zach,28:17,8,4,6,0,0,0,0,0,6,6,2,0,0,0,0,3,1,12,0,1697
ULK-PAR,15,REGULAR SEASON,False,True,Avramovic Aleksa,08:32,6,1,1,0,0,4,7,1,2,3,0,0,1,0,0,2,5,8,2,512
ULK-PAR,15,REGULAR SEASON,True,True,Smailagic Alen,07:29,4,2,4,0,2,0,0,1,0,1,0,2,0,0,1,1,0,1,-8,449
ULK-PAR,15,REGULAR SEASON,False,True,Papapetrou Ioannis,26:32,5,1,6,1,2,0,2,2,4,6,1,1,0,1,0,2,3,7,4,1592
ULK-PAR,15,REGULAR SEASON,False,True,Lessort Mathias,32:04,12,4,7,0,0,4,6,2,2,4,0,1,0,0,0,3,4,13,9,1924
ULK-PAR,15,REGULAR SEASON,True,True,Trifunovic Uros,05:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,302
ULK-PAR,15,REGULAR SEASON,False,True,Madar Yam,13:35,7,1,3,1,3,2,4,1,3,4,2,0,1,0,1,1,2,6,2,815
ULK-PAR,15,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,73,19,42,4,14,23,34,9,29,38,12,5,7,2,2,21,25,81,0,12000
PAR-OLY,30,REGULAR SEASON,False,False,Vukcevic Tristan,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAR-OLY,30,REGULAR SEASON,True,True,Leday Zach,22:06,6,1,1,1,3,1,1,1,3,4,0,0,1,0,0,1,4,10,4,1326
PAR-OLY,30,REGULAR SEASON,False,True,Avramovic Aleksa,16:45,2,1,1,0,1,0,0,0,3,3,1,0,2,0,0,4,1,0,18,1005
